"cod_elettorale","cod_istat","cod_catastale","desc_comune","cod_comune","desc_provincia","cod_provincia","desc_regione","cod_regione","ele_f","ele_m","ele_t","vot_f","vot_m","vot_t","perc","perc_r","data","ora","comunicazione"
150080280,"064028","C659","Chiusano Di San Domenico","0280","Avellino","008","Campania","15",1367,1284,2651,815,769,1584,59.75,56.91,"2025-05-26","15:00",4
150080790,"064080","H592","Rotondi","0790","Avellino","008","Campania","15",1674,1658,3332,0,0,567,17.02,19.5,"2025-05-25","12:00",1
150080790,"064080","H592","Rotondi","0790","Avellino","008","Campania","15",1674,1658,3332,0,0,1633,49.01,50.14,"2025-05-25","19:00",2
150080790,"064080","H592","Rotondi","0790","Avellino","008","Campania","15",1674,1658,3332,0,0,1978,59.36,61.82,"2025-05-25","23:00",3
150080790,"064080","H592","Rotondi","0790","Avellino","008","Campania","15",1674,1658,3332,1204,1199,2403,72.12,76.57,"2025-05-26","15:00",4
150080970,"064098","I606","Senerchia","0970","Avellino","008","Campania","15",526,630,1156,0,0,171,14.79,15.66,"2025-05-25","12:00",1
150080970,"064098","I606","Senerchia","0970","Avellino","008","Campania","15",526,630,1156,0,0,399,34.52,36.69,"2025-05-25","19:00",2
150080970,"064098","I606","Senerchia","0970","Avellino","008","Campania","15",526,630,1156,0,0,516,44.64,45.34,"2025-05-25","23:00",3
150080970,"064098","I606","Senerchia","0970","Avellino","008","Campania","15",526,630,1156,262,329,591,51.12,55.98,"2025-05-26","15:00",4
150110690,"062071","I277","Sant'angelo A Cupolo","0690","Benevento","011","Campania","15",1954,1971,3925,0,0,556,14.17,15.37,"2025-05-25","12:00",1
150110690,"062071","I277","Sant'angelo A Cupolo","0690","Benevento","011","Campania","15",1954,1971,3925,0,0,1747,44.51,44.48,"2025-05-25","19:00",2
150110690,"062071","I277","Sant'angelo A Cupolo","0690","Benevento","011","Campania","15",1954,1971,3925,0,0,2261,57.61,56.1,"2025-05-25","23:00",3
150110690,"062071","I277","Sant'angelo A Cupolo","0690","Benevento","011","Campania","15",1954,1971,3925,1404,1398,2802,71.39,72.75,"2025-05-26","15:00",4
150200460,"061046","E754","Lusciano","0460","Caserta","020","Campania","15",6694,6353,13047,0,0,1899,14.56,17.1,"2025-05-25","12:00",1
150200460,"061046","E754","Lusciano","0460","Caserta","020","Campania","15",6694,6353,13047,0,0,5228,40.07,46.13,"2025-05-25","19:00",2
150200460,"061046","E754","Lusciano","0460","Caserta","020","Campania","15",6694,6353,13047,0,0,7547,57.84,60.32,"2025-05-25","23:00",3
150200460,"061046","E754","Lusciano","0460","Caserta","020","Campania","15",6694,6353,13047,4833,4652,9485,72.7,75.1,"2025-05-26","15:00",4
150200600,"061060","G661","Pignataro Maggiore","0600","Caserta","020","Campania","15",2600,2391,4991,0,0,820,16.43,15.03,"2025-05-25","12:00",1
150200600,"061060","G661","Pignataro Maggiore","0600","Caserta","020","Campania","15",2600,2391,4991,0,0,2333,46.74,41.51,"2025-05-25","19:00",2
150200600,"061060","G661","Pignataro Maggiore","0600","Caserta","020","Campania","15",2600,2391,4991,0,0,3081,61.73,57.42,"2025-05-25","23:00",3
150200600,"061060","G661","Pignataro Maggiore","0600","Caserta","020","Campania","15",2600,2391,4991,2000,1841,3841,76.96,76.4,"2025-05-26","15:00",4
150510210,"063021","B946","Casavatore","0210","Napoli","051","Campania","15",8042,7425,15467,0,0,2076,13.42,14.64,"2025-05-25","12:00",1
150510210,"063021","B946","Casavatore","0210","Napoli","051","Campania","15",8042,7425,15467,0,0,5403,34.93,31.82,"2025-05-25","19:00",2
150510210,"063021","B946","Casavatore","0210","Napoli","051","Campania","15",8042,7425,15467,0,0,7729,49.97,46.56,"2025-05-25","23:00",3
150510210,"063021","B946","Casavatore","0210","Napoli","051","Campania","15",8042,7425,15467,5069,4772,9841,63.63,66.13,"2025-05-26","15:00",4
150510340,"063034","E054","Giugliano In Campania","0340","Napoli","051","Campania","15",50973,47882,98855,0,0,8768,8.87,13.95,"2025-05-25","12:00",1
150510340,"063034","E054","Giugliano In Campania","0340","Napoli","051","Campania","15",50973,47882,98855,0,0,24466,24.75,32.21,"2025-05-25","19:00",2
